"subID"	"mode"	"trial"	"choice"	"reaction_time"	"reward"	"condition"	"reward_prob_1"	"reward_prob_2"	"payoff_1"	"payoff_2"
"01"	"main"	184	0	0.621451900049578	1	0	0.882547017984216	0.417061449893614	1	1
"01"	"main"	185	1	0.886761300032958	0	0	0.844624205423092	0.48621186437157	1	0
"01"	"main"	186	1	0.649707300006412	0	0	0.815359071721132	0.49751038133828	1	0
"01"	"main"	187	0	0.783914700034074	1	1	0.742126453580042	0.530060973197108	1	0
"01"	"main"	188	0	1.15069450001465	1	0	0.781218211589577	0.482477249276747	1	0
"01"	"main"	189	0	0.417019299988169	0	0	0.5	0.5	0	0
"01"	"main"	190	1	0.465865099977236	1	0	0.426256785365754	0.518372018615903	1	1
"01"	"main"	191	1	0.626971799996682	1	1	0.390615288043338	0.558885252951831	1	1
"01"	"main"	192	0	1.07062449998921	1	0	0.417720220579349	0.513015887539214	1	1
"01"	"main"	193	0	1.09572739998112	1	1	0.421362100805762	0.512372966648582	1	0
"01"	"main"	194	1	1.72119359998032	1	0	0.396394887839748	0.489860576931913	0	1
"01"	"main"	195	1	0.598700999980792	0	0	0.531174701960184	0.441806898997427	1	0
"01"	"main"	196	1	0.627174399967771	0	0	0.529470078245538	0.412456963479004	0	0
"01"	"main"	197	0	1.49779579997994	0	0	0.43199073072734	0.440798510346862	0	1
"01"	"main"	198	1	0.959711400035303	0	0	0.532744303534784	0.319535739981654	0	0
"01"	"main"	199	0	0.61862750002183	0	0	0.64360565536582	0.392998621823113	0	1
"01"	"main"	200	1	0.749072000035085	1	0	0.578161391422245	0.442473847633005	1	1
"02"	"practice"	1	1	2.42936079995707	1	0	0.604881337828525	0.589525917668432	1	1
"02"	"practice"	2	1	2.09616680000909	0	0	0.645066269995826	0.532447233773351	0	0
"02"	"practice"	3	1	1.47048389998963	1	0	0.654473030423628	0.482017439868693	0	1
"02"	"practice"	4	0	0.796143800020218	1	0	0.629507027346635	0.425239754151142	1	0
"02"	"practice"	5	1	1.05213640001602	1	1	0.567942102341643	0.440449976972787	0	1
"02"	"practice"	6	0	0.613005599996541	1	0	0.505726561250371	0.476793700416252	1	0
"02"	"practice"	7	1	2.46820220001973	1	0	0.529910496170263	0.587505271668409	1	1
"02"	"practice"	8	0	2.12298519996693	1	1	0.403093949864824	0.691271920703381	1	1
"02"	"practice"	9	1	0.4853979999898	0	0	0.409857653071742	0.703002110217567	0	0
"02"	"practice"	10	1	0.500876700039953	0	0	0.4852593686873	0.613353842112282	0	0
"02"	"practice"	11	0	0.534978899988346	1	0	0.59824003013271	0.461101717539086	1	0
