mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
main,147,0.0,0.5607835999999224,1,0,0.9262581657632392,0.2976323399232927,1,0
main,148,0.0,0.3958343000012974,1,0,0.9125665794979596,0.2215157953650107,1,1
main,149,0.0,0.4798864000003959,1,1,0.990241433126796,0.2017769233021376,1,0
main,150,0.0,0.3594362999992881,1,0,0.9627317959522634,0.1730363305431298,1,0
main,151,0.0,0.3315944999994826,0,0,0.9217554261949196,0.1547399493827705,0,0
main,152,0.0,0.4402128999990964,1,0,1.0,0.1646721788086715,1,0
main,153,0.0,0.5027769999996963,1,0,0.9305061696194338,0.26191500591662,1,0
main,154,0.0,0.4156984000001102,1,1,0.9055067468721166,0.3347985244868053,1,0
main,155,0.0,0.3868669000003137,1,0,0.9506155771777576,0.3201366141462518,1,0
main,156,0.0,0.3793063000011898,1,0,0.8967411431901844,0.3395665734810058,1,0
main,157,0.0,0.3781061999998201,1,1,0.8530400855735852,0.3566761490181558,1,0
main,158,0.0,0.4234495000000606,1,0,0.9139210608941332,0.3453654429598096,1,0
main,159,0.0,0.4566524000001664,1,1,0.964206878257592,0.3721869715472335,1,1
main,160,0.0,0.4286678999997093,0,0,0.910165798806356,0.3686001212007891,0,0
main,161,0.0,0.4493509000003541,1,0,0.9480424516803444,0.4148973607821457,1,0
main,162,0.0,0.5193313999989186,1,0,1.0,0.3655699051812431,1,0
main,163,0.0,0.4799192000009498,1,0,1.0,0.3664367668849442,1,1
main,164,0.0,0.4307650999999168,1,0,1.0,0.3244647779288938,1,1
main,165,0.0,0.4018900999999459,1,0,1.0,0.3201163066204863,1,0
main,166,0.0,0.3767946000007214,1,0,1.0,0.3896975360742802,1,1
main,167,0.0,0.4798417000001791,1,1,0.5,0.5,1,1
main,168,0.0,0.3992552999989129,0,0,0.5035165896919499,0.5245367558747869,0,0
main,169,0.0,0.4289127000010921,1,0,0.6738571139942395,0.5176668718253767,1,0
main,170,0.0,0.537850000000617,0,0,0.6284632782146027,0.5598559692527271,0,0
main,171,0.0,0.4656400999992911,0,0,0.6848147967294818,0.5546997203790848,0,0
main,172,0.0,0.5398280999997951,0,0,0.5279117628978821,0.6483991363828128,0,1
main,173,1.0,0.4825593999994453,0,0,0.6654976704767716,0.567180720941672,1,0
main,174,1.0,0.4885866999993595,0,0,0.6637738885503746,0.541324753942782,0,0
main,175,1.0,0.4246530000000348,0,0,0.640010967603257,0.5109850217251651,1,0
main,176,0.0,0.4115822999992815,1,1,0.509400184169286,0.5618230772019148,1,1
main,177,0.0,0.3277489000010973,1,0,0.5994746917538873,0.6053367800561349,1,1
main,178,0.0,0.4579701999991812,1,0,0.5355813086473418,0.5780857564489297,1,1
main,179,0.0,0.3971805000001041,1,0,0.6404982708682145,0.5511083551504184,1,0
main,180,0.0,0.393449099999998,1,0,0.6105738401560628,0.4987428744541001,1,0
main,181,0.0,0.459719500000574,1,1,0.7547757220924258,0.4260501389872628,1,1
main,182,0.0,0.4825903000000835,1,0,0.8086137098143971,0.4508981077237972,1,1
main,183,0.0,0.451208399999814,1,0,0.7934732043296929,0.4235104118237864,1,1
main,184,0.0,0.4336691999997129,1,0,0.8825470179842156,0.4170614498936145,1,1
main,185,0.0,0.4050980000010895,1,1,0.8446242054230917,0.4862118643715701,1,0
main,186,0.0,0.431827999998859,1,0,0.8153590717211322,0.4975103813382804,1,0
main,187,0.0,0.5196938000008231,1,0,0.7421264535800416,0.5300609731971079,1,0
main,188,0.0,0.4690233000001171,1,0,0.7812182115895775,0.482477249276747,1,0
main,189,0.0,0.5326965000003838,0,0,0.5,0.5,0,0
main,190,0.0,0.4595917000006011,1,1,0.4262567853657542,0.518372018615903,1,1
main,191,0.0,0.413013299999875,1,0,0.3906152880433375,0.558885252951831,1,1
main,192,0.0,0.6110898999995698,1,1,0.4177202205793492,0.5130158875392138,1,1
main,193,0.0,0.4195995000009134,1,0,0.4213621008057625,0.5123729666485819,1,0
main,194,0.0,0.3649910999993153,0,0,0.3963948878397481,0.4898605769319131,0,1
main,195,0.0,0.4946042999999918,1,0,0.5311747019601843,0.441806898997427,1,0
main,196,0.0,0.5245290999991994,0,0,0.5294700782455385,0.4124569634790044,0,0
main,197,0.0,0.4305626000004849,0,0,0.4319907307273403,0.4407985103468622,0,1
main,198,0.0,0.3649944999997387,0,0,0.532744303534784,0.3195357399816537,0,0
main,199,1.0,0.452837200000431,1,0,0.6436056553658205,0.3929986218231132,0,1
main,200,1.0,0.3815355999995518,1,0,0.5781613914222452,0.4424738476330054,1,1
